title,description,imageUrl,price
MICHAEL Michael Kors Newbury Medium Chain Shoulder Tote (Brown Stud),Rated 5/5 from 11 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71XASDMPE1L._AC_UL1500_.jpg,325.00
COACH Women's Floral Crossbody Nolita 24 DK/Grey Birch Cross Body,Rated 4/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/811hZNdO09L._AC_UL1500_.jpg,324.99
Michael Kors Dalia Large Shoulder Tote in Cement,Rated 4.4/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71-M1beXMvL._AC_UL1500_.jpg,324.49
Michael Kors Brooke Medium Tote Luggage,Rated 4.6/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81zrS-eTx2L._AC_UL1500_.jpg,324.00
"Kate Spade New York Flynn Street Satchel, Black",Rated 4.9/5 from 14 Amazon shopper reviews.,https://m.media-amazon.com/images/I/819Wdeht9lL._AC_UL1500_.jpg,322.62
Kate Spade New York Knott Medium Satchel,Rated 4.7/5 from 22 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71kdkhKzpNL._AC_UL1500_.jpg,320.99
"Michael Kors Satchel, Green",Rated 4.4/5 from 58 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91zEBpPtvbL._AC_UL1500_.jpg,320.00
"Furla Elle Rock Studded M Leather Tote Bag, Gloss Pink",Rated 5/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81xOGzzwjkL._AC_UL1500_.jpg,319.30
Brahmin Duxbury Satchel Convertible Top-Handle Bag,Rated 4.6/5 from 356 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81eJMGYvwHL._AC_UL1500_.jpg,315.00
Michael Kors Women's Joan Extra Large Slouchy Shoulder Bag Style 35S1GV9L4L,Rated 4.9/5 from 22 Amazon shopper reviews.,https://m.media-amazon.com/images/I/51jAlyl0RxL._AC_UL1000_.jpg,315.00
Kate Spade New York Women's Triple Gusset Dawn Breezy Floral Crossbody Bag No Size (Blazer Blue/Multicolour),Rated 5/5 from 5 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81F5VrMDedL._AC_UL1500_.jpg,314.54
Rebecca Minkoff Amorous Satchel Handbag,Rated 3.9/5 from 32 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91NzMVdhq0L._AC_UL1500_.jpg,309.99
FRYE Melissa Shoulder Leather Handbag,Rated 4.5/5 from 248 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71+YMks2FyL._AC_UL1500_.jpg,307.26
Kate Spade Full Screen Zoom Wright Place Karla Leather Tote Shoulder Bag Purse Handbag,Rated 4.2/5 from 33 Amazon shopper reviews.,https://m.media-amazon.com/images/I/51oWbFfxeRL._AC_UL1007_.jpg,304.17
Coach Women's Kacey Satchel Crossbody (IM/Strawberry Haze),Rated 4.9/5 from 19 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71JSYnMETdL._AC_UL1393_.jpg,303.53
Michael Kors Women's Mott Medium Messenger Convertible Crossbody Bag Purse Handbag,Rated 4.5/5 from 387 Amazon shopper reviews.,https://m.media-amazon.com/images/I/41UKNAVG-1L._AC_.jpg,299.99
Kate Spade New York Molly Large Tote Hibiscus Tea One Size,Rated 5/5 from 7 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81lUR1ZVteL._AC_UL1500_.jpg,299.99
Coach 35030 Mini Ellis Tote in Pink Ruby,Rated 4.5/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/7167k6c8cRL._AC_UL1500_.jpg,299.95
"Dooney & Bourke Handbag, Ostrich Small Barlow Satchel",Rated 5/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71XQ1mdj4EL._AC_UL1500_.jpg,299.60
COACH Polished Pebble Leather Fulton Satchel Dk/Oxblood One Size,Rated 4.2/5 from 28 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91guIU685NL._AC_UL1500_.jpg,299.00
COACH Chicago Mini Ellis Tote LI/Chalk One Size,Rated 5/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81K4lQGhH1L._AC_UL1500_.jpg,299.00
Kate Spade New York Reiley Laurel Way Mixed Material Purse (Cityscape),Rated 5/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71z5hWyOldL._AC_UL1500_.jpg,298.00
Tory Burch Womens Thea Mini Backpack (Pink Moon),Rated 4/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81hAWxw8fYL._AC_SL1500_.jpg,298.00
Coach peyton signature Domed Cora Mini Satchel Crossbody Bag,Rated 3.2/5 from 18 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81KVK30LfYL._AC_UL1279_.jpg,298.00
"Dooney & Bourke Handbag, Gretta Hobo Shoulder Bag",Rated 4.1/5 from 11 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71S62L44EEL._AC_UL1500_.jpg,298.00
Vince Camuto Livi Tote Bag,Rated 5/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91jlR6kFjgL._AC_UL1500_.jpg,298.00
Coach Women's Georgie Saddle Bag (IM/Khaki/Terracotta Multi),Rated 4.7/5 from 20 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61qguexMEuL._AC_UL1017_.jpg,298.00
Coach Edie Ladies Medium Leather & Suede Carryall Handbag 20165LICHT,Rated 4.8/5 from 5 Amazon shopper reviews.,https://m.media-amazon.com/images/I/919Lg55RKfL._AC_UL1500_.jpg,298.00
COACH Leather Folio Tote Bag,Rated 4.9/5 from 17 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81iytFtnLgL._AC_UL1500_.jpg,295.09
"Coach Women's Otl Signature Zip Tote/Purse, Khaki Brown, One Size",Rated 4/5 from 11 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91MBLUsnLhL._AC_UL1500_.jpg,295.00
COACH Womens Georgie Gem Crossbody In Pebble Leather,Rated 4.4/5 from 49 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61WkTh6xu0L._AC_UL1500_.jpg,295.00
Kate Spade New York Medium Jordyn Chain Tote Shoulder Handbag,Rated 4.9/5 from 16 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61OXzV6l1aL._AC_UL1500_.jpg,295.00
Marc Jacobs Women's The Jacquard Mini Tote Bag,Rated 4.6/5 from 94 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71Y-HIaFEWL._AC_UL1500_.jpg,295.00
COACH Color-Block Leather Willow Tote 24,Rated 1.9/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71EZSkMEKJL._AC_UL1500_.jpg,295.00
Fossil Women's Heritage Leather Top Handle Crossbody Purse Handbag,Rated 4.4/5 from 41 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71fiHlgyVRL._AC_UL1500_.jpg,294.95
Tory Burch 88368 Black With Gold Hardware Ella Nylon Women's Backpack,Rated 5/5 from 6 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61p0TuKM2uL._AC_SL1500_.jpg,294.75
Michael Kors Dee Dee Large Tote in Cinder,Rated 5/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61-AG-a+9SL._AC_UL1397_.jpg,294.00
"Michael Michael Kors Women's Hamilton Saffiano Leather Medium Satchel, Navy",Rated 4.2/5 from 20 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81W2vic9LbL._AC_UL1500_.jpg,294.00
Rowan Satchel In Signature Canvas With Mystical Floral Print (Floral Midnight),Rated 4.1/5 from 17 Amazon shopper reviews.,https://m.media-amazon.com/images/I/614MyWYwj-L._AC_UL1455_.jpg,292.00
Kate Spade New York Cameron Street Small Candace Satchel Bag Crossbody Bag,Rated 4.7/5 from 58 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61HybzVNyDL._AC_UL1000_.jpg,289.00
Kate Spade Small Geraldine Patterson Drive Leather Women's Medium Crossbody Bag Purse Handbag,Rated 4.5/5 from 21 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61UjES94CHL._AC_UL1500_.jpg,288.65
Kate Spade New York Staci Medium Saffiano Leather Satchel Purse,"Rated 4.6/5 from 1,041 Amazon shopper reviews.",https://m.media-amazon.com/images/I/41PYhgBhLzL._AC_UL1169_.jpg,288.50
Coach Women's Mollie Tote (Pebble Leather - Cherry),Rated 4/5 from 13 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81gXB1K437L._AC_UL1500_.jpg,288.00
Coach Signature Phoebe Carryall Handbag Khaki Brown,Rated 4.5/5 from 7 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61LYWdhaX1L._AC_UL1000_.jpg,288.00
"MICHAEL Michael Kors Women's Astor Large Satchel, Dark Caramel, One Size",Rated 5/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71EiOmA+SZL._AC_UL1080_.jpg,287.50
Michael Kors Women's Jet Set Travel Laptop Leather Tote,Rated 5/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81SInBpO1OL._AC_UL1500_.jpg,287.00
Michael Kors Women's Raven Tote,Rated 4.3/5 from 161 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81N3VP8rLKL._AC_UL1500_.jpg,286.64
Tory Burch Women's Nylon Swingpack Crossbody Bag (Tory Navy),Rated 2.7/5 from 5 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91Bx3zZhjrL._AC_UL1500_.jpg,285.20
Disney Dooney & Bourke Colored Sketch Wristlet Purse - Green,Rated 4.5/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91UdDxzFQPL._AC_SL1500_.jpg,285.00
Kate Spade New York Bradley Pebbled Leather Large Tote,Rated 4.5/5 from 7 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81rUEB2RKmL._AC_UL1500_.jpg,285.00
COACH Disney Mickey Mouse X Keith Haring Mollie Tote,Rated 4.6/5 from 7 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61jUX1cHnBL._AC_UL1280_.jpg,282.94
Fossil Women's Carmen Leather Tote Purse Handbag,Rated 4.5/5 from 231 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91g94Z9hgUL._AC_UL1500_.jpg,280.00
Fossil Women's Carmen Leather Shopper Tote Purse Handbag,Rated 4.4/5 from 106 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81qbfMoQ1FL._AC_UL1500_.jpg,280.00
COACH Color-Block Leather with Coated Canvas Signature Interior Willow Tote Dark Stone One Size,Rated 3/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81TbiOHN9AL._AC_SL1500_.jpg,279.99
Michael Kors Mercer Gallery Ladies Medium Two Tone Canvas Shoulder Bag 30F9GZ5L6B-149,Rated 4.5/5 from 12 Amazon shopper reviews.,https://m.media-amazon.com/images/I/41DaqyUWQOL._AC_.jpg,279.00
Michael Kors Women's Ciara Medium Messenger Crossbody Bag,Rated 4.3/5 from 34 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61nVMfyBS4L._AC_UL1500_.jpg,279.00
"HOBO Pier Tote bag For Women - Magnetic Closure With Detachable Shoulder Strap, Gorgeous and Functional Handbag",Rated 4.6/5 from 27 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71QB1BO1D2S._AC_UL1500_.jpg,279.00
MICHAEL Michael Kors Womens Selby Leather Signature Satchel Handbag Beige Medium,Rated 3.7/5 from 7 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81fFdpteMML._AC_UL1500_.jpg,279.00
"HOBO Render Stylish Handbag For Women - Magnetic Closure With Adjustable Shoulder Strap, Beautiful and Practical Handbag",Rated 4.7/5 from 17 Amazon shopper reviews.,https://m.media-amazon.com/images/I/712CE6NzxkS._AC_UL1500_.jpg,279.00
"Dooney & Bourke Handbag, Gretta Kendall Drawstring",Rated 4.4/5 from 6 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71E7HLycSlL._AC_UL1500_.jpg,279.00
Kate Spade Wilson Road Hummingbird Floral Alyse Satchel Hand Bag,Rated 5/5 from 7 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71w6kzItVFL._AC_UL1138_.jpg,278.00
"Michael Kors Canvas and Beach Tote Bag, Black (Black)",Rated 4.5/5 from 61 Amazon shopper reviews.,https://m.media-amazon.com/images/I/9127OjWyXNL._AC_SL1500_.jpg,278.00
MICHAEL Michael Kors Women's Elana Large Convertible Shoulder Vanilla Handbag,Rated 4/5 from 26 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91X-BreqfcL._AC_UL1500_.jpg,278.00
"Michael Kors Backpack Handbag, Blue",Rated 4.7/5 from 260 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91Uu-JRanLL._AC_UL1500_.jpg,278.00
Michael Kors Lana Medium Tote Suntan/blk Leather,Rated 5/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61U-YHj612L._AC_UL1500_.jpg,278.00
Rebecca Minkoff Women's Darren Shoulder Bag,Rated 3.9/5 from 33 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91EGq7o1JHS._AC_UL1500_.jpg,278.00
"Dooney & Bourke Handbag, Ostrich Small Zip Crossbody",Rated 4/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71SOjexTpmL._AC_UL1500_.jpg,277.99
